PLOT	BGLUC	CELLO	NAG	PHENOX	PEROX
1	1767.889282	392.939542	2167.622457	4.605336069	2.536714513
2	1561.384387	444.5774184	3839.976609	0.608934405	1.862519071
3	1629.472519	373.9384984	3956.906343	1.066911812	1.465908643
4	1751.123167	396.4689543	4627.023662	0.758646709	0.489754793
5	2978.77176	674.0082825	2339.76218	0.314494105	1.432847874
6	2138.437499	420.8825292	3260.032586	2.10930943	1.594244778
55	1938.486632	438.2642432	966.4462781	0	0.232814718
56	1703.574738	360.5172222	1703.745122	1.980299804	0.216198904
57	1303.52923	211.1474625	1852.378622	2.475907895	1.386752327
58	1176.596782	263.1832403	1807.57077	0.040628729	1.019411754
59	1539.527645	307.5211548	2920.829014	0.007207172	0.945138258
60	1430.618801	294.3503156	1807.463309	1.310124351	1.426041253
25	2039.116421	452.4787663	8815.825363	1.164281511	1.640978835
26	2005.193353	322.6040766	6827.725394	1.202229637	1.792502474
27	1009.322715	101.6696676	1974.048502	3.733938705	1.907481131
28	967.5407967	176.5920102	921.2637885	2.782997737	11.56263567
29	804.797805	101.4802348	2392.371695	1.687103456	0.612032841
30	1968.045571	395.0244638	3534.015131	1.746449673	0.764269473
43	1795.842227	383.1359419	3242.318404	1.935525805	2.194435913
44	1115.39384	182.9016765	2537.49169	1.873436236	0.708210514
45	1782.363133	363.5301664	4204.653038	3.146034782	0.422733261
46	2595.476738	639.9792603	1631.027114	4.158377369	1.426235954
47	2159.425163	388.1060493	5447.9522	2.857611843	1.470056782
48	463.2451641	59.05459731	1351.227869	5.244217352	0.814076346
19	2468.942183	791.6261235	3276.187004	0	0.888028564
20	2407.813395	385.7623713	8204.265638	7.108873621	5.373772043
21	3045.189818	620.7277505	4926.231212	1.579424183	2.131960483
22	2281.898075	408.2680347	3359.79089	0.063001323	1.989095746
23	2033.504408	483.2156706	2971.400094	2.264287818	2.545579006
24	1681.298325	435.0691444	2916.171715	2.178799075	2.18408298
61	2663.742592	680.1246906	2484.056861	0.529761564	1.519878071
62	2395.420758	578.8807307	3206.360349	4.17198527	1.788620316
63	1091.704658	155.7358128	3860.951235	3.465473227	1.199250932
64	2702.496684	866.7984626	4142.215707	2.478877932	2.201572396
65	1185.794402	236.901985	4372.268968	1.834846205	1.841488357
66	1452.456549	539.5202388	2369.68821	1.201461905	0.751256921
7	1422.922955	267.2765591	1396.003386	1.836330731	3.308608355
8	1545.654425	215.7582545	1771.943904	1.29221607	1.343546797
9	1428.320575	254.3849477	1685.248098	1.08428289	1.903420781
10	1728.441325	243.0445943	1842.2114	1.69461631	0.682765484
11	1770.830908	320.3445111	2293.034385	1.681682925	1.796629296
12	1672.428955	282.807891	1937.08363	0.696631403	1.201181819
37	1449.425505	218.1703501	1247.575888	0.997136646	1.708796187
38	1481.770844	240.1603764	1822.047347	1.543249027	1.49941432
39	1733.539282	265.1438124	2088.879653	3.027808603	1.848511969
40	1162.768105	258.3462022	1276.215871	2.028092219	2.600542028
41	1360.93314	222.9880628	2058.395594	1.680869575	3.407563615
42	1487.881466	209.8799309	2280.610737	1.787102271	2.902606323
13	541.1136548	119.363075	3000.681616	1.712401914	1.148670461
14	1655.770846	337.4279975	2982.287271	2.611724932	2.152539057
15	822.1553012	115.3456267	4120.044382	2.327286526	3.047442628
16	2200.813994	367.9161899	2270.464917	1.288664226	0.986698637
17	686.1363041	96.44604999	3316.007419	1.436225185	1.268075849
18	2653.917292	549.8221664	3188.942442	1.424234783	0.364681778
31	2587.707624	555.2369248	3087.805872	2.725248249	2.200139144
32	1252.920132	219.5734498	1487.730474	0.099713275	1.318970253
33	1673.543443	307.6369226	9041.909531	3.077512018	3.012968165
34	1306.172043	195.0895093	1212.797908	0.785840449	0.888555177
35	1963.825346	402.0062857	2351.330591	1.919484448	1.683104791
36	1419.149328	175.7180646	1316.483592	0.274832244	0.69313194
49	2588.568827	558.2360995	5561.136291	1.200529749	1.883117298
50	1776.298348	279.8053704	2796.327485	1.202378549	1.258375203
51	1593.872314	332.9968078	2280.833798	3.731447808	3.20142514
52	1780.621083	280.8949573	2069.813863	0.971238529	0.673772433
53	1534.304067	259.2639085	14298.22804	0.608351635	2.612527653
54	1212.15591	155.7483398	2561.619689	2.131284423	2.121063904
67	1776.927318	334.1788076	4214.317589	2.945584978	1.909352806
68	1823.414189	275.2979477	4506.651213	2.199269783	1.884547792
69	2722.113411	655.7235585	8254.018256	2.706066241	2.233851669
70	1534.829415	233.5191533	3027.369381	1.356640607	0
71	895.5911175	132.6296617	1811.491715	1.286006655	1.463854563
72	1517.182485	229.1875536	2432.477994	1.744003198	1.875574587
