Annotations/Genomes	Metani1	Annotation Description
CAZy	428	CAZy
AA	50	Auxiliary Activities family
AA1	15	Auxiliary Activity Family 1
AA1_2	1	Auxiliary Activity Family 1 / Subf 2
AA1_3	4	Auxiliary Activity Family 1 / Subf 3
AA2	2	Auxiliary Activity Family 2
AA2_dist		Class II peroxidase
AA3	16	Auxiliary Activity Family 3
AA3_1	1	Auxiliary Activity Family 3 / Subf 1
AA3_2	11	Auxiliary Activity Family 3 / Subf 2
AA3_3	1	Auxiliary Activity Family 3 / Subf 3
AA3_4	1	Auxiliary Activity Family 3 / Subf 4
AA5	3	Auxiliary Activity Family 5
AA5_1	1	Auxiliary Activity Family 5 / Subf 1
AA5_2	2	Auxiliary Activity Family 5 / Subf 2
AA6	1	Auxiliary Activity Family 6
AA7	2	Auxiliary Activity Family 7
AA7_dist		Glucooligosaccharide oxidase
AA8	1	Auxiliary Activity Family 8
AA9	1	Auxiliary Activity Family 9
AA11	6	Auxiliary Activity Family 11
AA12	2	Auxiliary Activity Family 12
AA14	1	Auxiliary Activity Family 14
CBM87	2	Carbohydrate-Binding Module Family 87
CBM	47	Carbohydrate-Binding Module family
CBM1	4	Carbohydrate-Binding Module Family 1
CBM6		Carbohydrate-Binding Module Family 6
CBM13	1	Carbohydrate-Binding Module Family 13
CBM18	7	Carbohydrate-Binding Module Family 18
CBM20	1	Carbohydrate-Binding Module Family 20
CBM21	3	Carbohydrate-Binding Module Family 21
CBM24	3	Carbohydrate-Binding Module Family 24
CBM32	1	Carbohydrate-Binding Module Family 32
CBM35		Carbohydrate-Binding Module Family 35
CBM42	1	Carbohydrate-Binding Module Family 42
CBM43	2	Carbohydrate-Binding Module Family 43
CBM48	3	Carbohydrate-Binding Module Family 48
CBM50	18	Carbohydrate-Binding Module Family 50
CBM63		Carbohydrate-Binding Module Family 63
CBM66	3	Carbohydrate-Binding Module Family 66
CE18	2	Carbohydrate Esterase Family 18
CE	9	Carbohydrate Esterase family
CE3		Carbohydrate Esterase Family 3
CE4	3	Carbohydrate Esterase Family 4
CE5	3	Carbohydrate Esterase Family 5
CE8		Carbohydrate Esterase Family 8
