Annotations/Genomes	Abscae1	Absrep1	Amyrou1	Bacci1	Benpoi1	Bifad1	Blatri1	Blatri_F921_1	Blatri_F986_2	Chabre1	Chlpad1	Chocucu1	Cirumb1	Cokrec1	Cunech1	Dicele1	Dicrob1	Ellano2	Endsp1	Fenlin1	FenlinCB54_1	Gilper1	Gonbut1	Halrad1	Helpul1	Hesve2finisherSC	Jimfl_AD_1	Jimfl_GMNB39_1	Jimlac1	Kircor1	Lenpar1	Lenzyc1	Liccor1	Lichy1	Licra1	Mucam1	Mucci2	Muccir1_3	Muccirc1	Mucend1	Mucfus1	Muclan1	Mucmuc1	Mucrac1	Mycafr1	Mycind1	Parpar1	Phaart1	Phybl2	PhyblU21_2	Phybl_L51_1	Phybla1	Pilano1	Pilumb1	PnitS607_1	PnitS608_1	PnitS609_1	Radspe1	Rhich1	Rhimi1_1	Rhimi_ATCC11559_1	Rhimi_ATCC52814_1	Rhior3	Rhisto1	Sakvas1	Spifus1	Spoumb1	Synrac1	Thaele1	Umban1	Umbelo1	Umbisa1	Umbra1	Umbsp_AD052_1	Zycmex1	Zyghet1	Annotation Description
CAZy	382	380	427	517	338		319	328	327	312	367	320	335	297	286	333	348	375	274	346	370	342	332	284	358	289	337	336	355	520	270	271	353	362			339	368					363		289	317	331	348	279	312	313	299	327	268	293	287	286	293	565	312	302	311	410	408		244	309	317	350	429	425	404	413	399	349	402	CAZy
AA	16	16	12	20	16		14	13	15	14	13	12	16	13	12	14	15	20	18	16	19	16	15	11	15	16	19	19	16	24	16	14	14	15			18	15					17		11	16	14	18	10	12	14	12	14	6	10	10	10	16	23	11	11	11	13	13		12	12	12	15	20	22	16	17	18	21	21	Auxiliary Activities family
AA1	7	8	5	8	7		6	6	6	5	7	6	8	6	7	8	8	6	7	11	12	8	7	4	7	7	5	5	5	9	7	7	7	8			7	6					7		5	6	5	11	5	5	5	5	6	2	5	5	5	6	7	4	5	4	5	5		5	4	7	7	5	6	5	5	5	14	9	Auxiliary Activity Family 1
AA1_2	2	2	1	4	4		2	2	2	2	2	2	2	3	4	2	2	3		4	4	3	2	1	3	2	1	2	2	6	1	1	3	4			3	3					3		3	3	2	4	2	2	2	2	2		2	2	2	2	2	1	2	1	1	1		2	1	2	3	1	1	1	1	1	4	6	Auxiliary Activity Family 1 / Subf 2
AA1_dist			1															1						1													2																							1																	Multicopper oxidase
AA2	3									1								4			2										2	2														4				2	2													1						2	1						Auxiliary Activity Family 2
AA2_dist	1																	3			1										1	2														3				1	1																			1							Class II peroxidase
AA3			1	1	2		2	1	2	1		2						2	2			3			1		1	1	2	2							3	2					2		1	1	2						1					1	5	2	2	2	1	1			3		1	4	6	1	3	3		2	Auxiliary Activity Family 3
AA3_2			1	1	2		2	1	2	1		2						2				3			1				1	2							3	2					2		1	1	2						1					1	3	2	2	2	1	1			3		1	4	6	1	3	3		2	Auxiliary Activity Family 3 / Subf 2
AA3_dist																			2								1	1	1																																																GMC oxidoreductase
AA5	2	2	2	2	2		2	2	3	2	2	2	2	2	1	1	1	2	6	2	2	2	1	2	2	1	5	4	5	3	1	1	1	1			3	2					4		1	1	2	2	1	1	1	1	2	1	1	1	1	2	5	2	2	2	2	2		1	2	1	2	3	3	2	2	3	2	2	Auxiliary Activity Family 5
AA5_1	2	2	2	2	1		2	2	3	2	2	2	2	1	1	1	1	2	6	2	2	2	1	2	1	1	5	4	5	3	1	1	1	1			3	2					3		1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2		1	2	1	1	3	3	2	2	3	2	1	Auxiliary Activity Family 5 / Subf 1
AA6	4	6	4	9	5		4	4	4	5	4	2	6	5	4	5	6	6	3	3	3	3	5	5	5	8	6	7	4	10	5	4	6	6			5	5					4		4	4	5	5	4	4	4	4	5	3	4	4	4	7	6	3	2	3	5	4		6	3	4	5	5	5	5	5	5	5	7	Auxiliary Activity Family 6
AA7																																																																								1					Auxiliary Activity Family 7
AA7_dist																																																																								1					Glucooligosaccharide oxidase
AA10																							1																																																						Auxiliary Activity Family 10
AA11																											2	2																																																	Auxiliary Activity Family 11
AA12																															1																				2	2																				1	1	1			Auxiliary Activity Family 12
AA14																							1																																															1	1	1	1	1		1	Auxiliary Activity Family 14
CBM	44	53	56	75	36		39	42	40	37	48	43	28	37	32	39	40	45	59	35	33	42	37	28	45	30	56	49	51	71	28	31	47	39			28	44					47		30	33	43	33	35	51	47	44	42	41	43	39	38	38	72	41	34	40	51	48		32	44	31	47	65	53	47	70	63	33	47	Carbohydrate-Binding Module family
