Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
CAZy	211	442	221	201	356	275	229	237	325	840	408	442	322			419	533	474	408		243	232	266	255	312	422	417	430	413	410	426	333	372	592	554	392		441		472	808	408			231	242	216	238	237	229	219	206		235	231	242	234	240	235	277	396	340	252	315	228	183	161	CAZy
AA14_dist																																																														1						
AA	20	47	20	20	37	15	37	37	35	96	40	37	26			45	59	49	37		24	12	28	15	31	38	38	38	37	80	76	40	49	53	48	32		42		43	82	39			18	20	13	19	20	15	14	13		20	20	20	19	20	20	18	38	38	9	26	16	14	10	Auxiliary Activities family
AA1	4	5	2	3	20	2	3	3	5	31	15	16	9			23	16	14	5		4	1	7	1	2	12	12	15	13	13	11	2	11	20	18	13		14		13	29	14			2	3	4	5	5	3	5	4		5	5	5	5	5	5	5	2	3	2	1	1	1	1	Auxiliary Activity Family 1
AA1_2	1		1	1	2	1	1	1	2	1	1	1	1			1	2	1	1		1	1	1	1	1	1	1	1	1			1		2	2	1		1		1	3	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	Auxiliary Activity Family 1 / Subf 2
AA1_dist		3		2	5					2	1	2	2			2	1	1			1					3	4	4	7	2	1		2	1	5	7		12		4	4									2																		Multicopper oxidase
AA2																									2	2	2	2	1		3	3	2	5	5					2	4	2				2																2						Auxiliary Activity Family 2
AA2_dist																									2	2	2	2	1		3	3	2	5	5					2	4	2																				2						Class II peroxidase
AA3	1	19	2	2	5	3	11	11	12	28	6	7	6			7	14	15	12		5	4	6	2	8	8	8	7	8	59	54	19	28	11	6	9		17		11	25	9			4	4	1	3	3	1	1	1		3	3	3	3	3	3	6	13	9	1	3	4	4	2	Auxiliary Activity Family 3
AA3_1																																1																													2							Auxiliary Activity Family 3 / Subf 1
AA3_2	1	6	1	1	5	3	10	10	9	24	5	6	6			6	11	11	9		2	1	5	1	6	8	8	7	8	55	51	16	25	11	6	8		17		11	25	9			4	4	1	3	3	1	1	1		3	3	3	3	3	3	4	9	8		2	4	4	2	Auxiliary Activity Family 3 / Subf 2
AA3_3		8	1	1			1	1	2	4	1	1				1	3	4	2		3		1	1	2					4	3	1	3																												2	1	1	1				Auxiliary Activity Family 3 / Subf 3
AA3_4									1										1													1																																				Auxiliary Activity Family 3 / Subf 4
AA3_dist																																																												1								GMC oxidoreductase
AA4						2			3										1					1	1																							2	2	1				2	2	2	2	2	2					1				Auxiliary Activity Family 4
AA5	4	2	5	6	4	5	1	1	5	7	3	5	2			4	3	4	5		8	3	7	3	5	4	5	4	5	4	4	2	5	8	7	4		5		7	9	6			4	4	2	2	2	3	2	2		2	2	2	2	2	2	3	6	6	2	7	3	3	2	Auxiliary Activity Family 5
AA5_1	4	2	5	6	4	5	1	1	5	7	3	5	2			4	3	4	5		8	3	7	3	5	4	5	4	5	4	4	2	5	8	7	4		5		7	9	6			3	4	2	2	2	3	2	2		2	2	2	2	2	2	3	6	6	2	7	3	3	2	Auxiliary Activity Family 5 / Subf 1
AA6	1	7	2	1	1		3	3	1	2	1	1	1			1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	2	1		1	1		1		1	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	3	Auxiliary Activity Family 6
AA7		1			4	1				21	11	4	2			6	20	11			3		1	4	2	6	6	4	5			2		5	5	1		1		6	7	3			1		1	1	1		1	1		1	1	1	1	1	1			1			1			Auxiliary Activity Family 7
AA7_dist					1	1				17	7	4	1			4	20	4			1		1		2	6	1	4				2		3	2	1				3	7				1		1	1	1		1	1		1	1	1	1	1	1						1			Glucooligosaccharide oxidase
AA8																																1																																				Auxiliary Activity Family 8
AA9	3	4	5	3	2		7	7		7	4	4	6			4	5	4	2				6		1	5	4	5	4	3	3	4	2	4	6	4		4		3	6	4			1	1		1	1					1	1	1	1	1	1	3	2	1		7	1			Auxiliary Activity Family 9
AA9_dist		1	1		2					7	4	4	6			4	5	4	2				1			4	3	3	3	3	3		2	2	4	3		3		2	4	3																		1	2							Lytic polysaccharide monooxygenase (formerly GH61)
AA11	2	5	3	2		1	7	7	3										2		1	3		2	3							2													2	2	2	1	2	4	2	2		2	2	2	2	2	2		3	2	1	2	2	2	1	Auxiliary Activity Family 11
AA12		2		1																												1																																				Auxiliary Activity Family 12
AA14	4	1	1	2		1	5	5	6										9		2			1	6							2													3	3	2	3	3	2	2	2		3	3	3	2	3	3		11	13	2	4	3	3	1	Auxiliary Activity Family 14
AA16	1	1			1																																																															Auxiliary Activity Family 16
CBM	9	34	10	6	14	14	7	12	18	32	19	18	12			16	24	15	26		7	8	8	17	11	20	20	23	19	18	19	15	16	32	29	23		18		27	56	22			12	12	15	16	15	13	15	12		18	16	18	17	18	17	12	79	35	9	9	8	4	7	Carbohydrate-Binding Module family
CBM1	1	8	3	1		4		4	6										9					5	3																				6	5	7	9	8	4	7	5		10	8	10	10	10	10	3	21	13	3					Carbohydrate-Binding Module Family 1
CBM5		5																														2																																				Carbohydrate-Binding Module Family 5
CBM12		2			1					2	1	1	1			1	1	1				1	1			1	1	1	1	2	1	1	1	2		1		1		1	2	1																		1								Carbohydrate-Binding Module Family 12
CBM13					1							1	1										1							1	1		1	2	2	1				1	3	1																		1				1				Carbohydrate-Binding Module Family 13
CBM18	1		1			1	1	1	2										4				1	4	1																				1	1	2	2	1	1	2	2		2	2	2	2	2	2		46	14			2			Carbohydrate-Binding Module Family 18
CBM20		6			1		1	1	1	1		1	1				1		3					1								2																													1	1			1	1		Carbohydrate-Binding Module Family 20
CBM21	1	6	1	1	1	1	1	1	1	2	1	1	1			1	1	1	1		2	1	1	2	1	1	1	1	1	1	3	4	1	1	1	1		1		1	2	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	2	1	1	1	1	1		1	Carbohydrate-Binding Module Family 21
CBM32	1		1	1					1										1						1	1	1	1	1					6	8	1		3		5	8	3			1	1	1	1	1		1	1		1	1	1	1	1	1		1				1	1		Carbohydrate-Binding Module Family 32
CBM35					2					3	2	2	2			2	2	2	1							4	3	5	4	3	3		2	2	2	7		2		5	14	5																										Carbohydrate-Binding Module Family 35
CBM43		3								2	1	1	1			1	1	1				2	1			1	2	1	1	1	1		1	2	1	1		1		1	2	1																		1				1			1	Carbohydrate-Binding Module Family 43
CBM48	3	2	2	2	3	4	2	2	4	6	3	5	3			3	5	2	5		3	3	3	4	3	5	4	6	3	3	3	5	4	6	4	4		3		3	6	4			2	3	3	2	3	4	3	2		3	3	3	3	3	3	3	4	4	3	4	2	2	3	Carbohydrate-Binding Module Family 48
CBM50	2		2	1	1	2	2	3	1	2	1	1				1	3		2		2	1		1	2	1	1	1	1	1	1	1	1	1	2					2	2	1			1	1	1	1	1	3	1	1		1	1	1		1		1	5	2	1	2	1		2	Carbohydrate-Binding Module Family 50
CBM52		2																																																																		Carbohydrate-Binding Module Family 52
CBM63					4	2			2	14	10	5	2			7	10	8								6	7	7	7	6	6		5	10	9	7		7		8	17	5																					1					Carbohydrate-Binding Module Family 63
