Annotations/Genomes	Ambph1	Artfe1_2	Arxad1	Ascru1	Ashgo1_1	Babin1	Botmuc1	Brebr1	Canalb1	Canar1	Canbo1	Canca1	Candu1	Canma1	Canmem1	Canor1	Canpa1	Canta1	Cante1	Cantr1	Cantro1	Cepal1_1	Cepfr1_1	Citma1	Clalu1_2	ClaluMJ12_1	Cybfa1	Cybja1	Debfa1	Debha1	Debsub1	Dekbr2	Erecy1	Erego1	Galgeo1	Hangu1	Hanne1	Hanop1	Hanos1	Hanpo2	Hanuv1	Hanva1_1	Hanva2	Hypbu1	IsorIO21_1	Isori2	Issori2	Issorie2	Kazaf1	Kazna1	Kludo1	Klula1	Kluma1	Klumarx1	Kurca1	LacCBS6924_1	Lacda1	Lacfe1	Lacla1	Lacme1	Lacmi1	Lacno1	Lacqu1	Lacth1	Lipst1_1	Lodelo1	Metbi1	Metbi_SCcomb	Metfru2	Metgru1	Metko1	Metpul1	Metpul1_1	Metreu1	Metvi1	MetyHQL305_1	MetyHQL305_1_1	Meygui1	Milfa1	Mranc1	Myxme1	Nadfu1	Nakbac1	Nakdel1	Nakwi1	Nauca1	Nauda1	Ogapa1	Pacta1_2	Petxy1	Pickud1	Picme2	Picpa1	Picst3	SacAshbya_1	Sacarb1	Sacboulardii_1	Sacca1	Sacce1	SacceM3707_1	SacceM3836_1	SacceM3837_1	SacceM3838_1	SacceM3839_1	SacceYB210_1	SacceYB210_1_copy	Saceu1	Sacku1	Satdi1	Schama1	Schcoi1	Schcry1	Schgos1	Schill1	Schill1_1	Schins1	Schlig1	Schlign1	Schque1	Schseg1_1	Schshe1	Schsti1	Schvir1	Schvir1_1	Schxyl1	Spaarb1	Spapa3	Spasuh1_1	Spola1	Stabo1	Staflo2	Sugame1	Sugli1	Symat1	Tetbla1	Tetpha1	Torde1	Tripe1	Vanpo1	Wican1	Wicdo1	Wicso1	Yarli1	YarliW29	YarliW29_1	YarliY64008_1	YarliYB392	YarliYB419	YarliYB420	YarliYB566	YarliYB567	YarliYlCW001	Yarlip1	YarlipO1F2	Zyghe1_2	Zygro1	Zygrou1	Annotation Description
CAZy	248	168	183	166	116	148	139		154	157	146	115						139	165			166	169		144	133		161		173	172	140			206		100			147		106	102	84	142	140	138	141	139			124		128	170										262	140	134	118		168	9	152	152	141	149	147	147	159		209	184	129							147			143	124	175					143	143	143	141	143	145	140						170			170	172				176	178		177	184	192		179	188	180	132	98	106	172		27			125	214		176	114		134	143		141	137	137	137	137	137	128	137	141	158	118	123	CAZy
AA	16	4	8	6	3	5	3		9	7	6	3						6	7			10	11		7	8		8		6	9	6			14		3			6		3	4	2	7	5	5	5	6			5		7	5										19	7	5	5		9		6	7	7	6	6	7	6		7	14	6							6			6	5	6					6	6	6	6	6	6	6						6			8	9				6	9		6	7	9		5	5	9	4	6	6	6					7	8		7	7		10	13		13	10	10	10	10	10	9	9	13	6	9	10	Auxiliary Activities family
AA1	8	2	4	2	3	3	1		5	2	3	1						3	3			6	8		4	3		5		3	4	3			3		2			2		2	2	1	2	2	2	2	2			3		4	2										9	3	3	3		4		3	3	3	3	3	3	3		4	7	2							3			3	2	2					3	3	3	3	3	3	3						2			2	2				2	2		2	2	2		3	3	3	1	2	2	2					4	3		4	3		3	3		3	3	3	3	3	3	3	3	3	3	4	4	Auxiliary Activity Family 1
AA1_2	8	2	2	2	2	3	1		5	2	2	1						2	2			2	3		3	2		5		2	3	2			2		2			2		2	2	1	2	2	2	2	1			2		2	2										3	3	2	2		3		2	2	2	2	2	2	2		3	2	2							3			2	2	2					2	2	2	2	2	2	2						2			2	2				2	2		2	2	2		3	3	3	1	1	1	1					2	1		3	2		2	2		2	2	2	2	2	2	2	2	2	1	2	2	Auxiliary Activity Family 1 / Subf 2
AA1_dist																																			1																																						1				1																																																					1																												Multicopper oxidase
AA2																										1					2				2		1						1		2									1																																																												2	2					2			2	2				2		1	1													3		3								3			1	Auxiliary Activity Family 2
AA2_dist																										1					2				2		1						1		2									1																																																												2	2					2			2	2				2		1	1													3		3								3			1	Class II peroxidase
AA3			1							3	1																													1															1										3								1				1																2																						1					1				2				2		1	1						1				2		1	1		1	1	1	1	1	1	1	1	1		2	2	Auxiliary Activity Family 3
AA3_1																																																																									1				1																																						1									2				2																														Auxiliary Activity Family 3 / Subf 1
AA3_2																																																																	3																																																																	1	1						1				2		1	1		1	1	1	1	1	1	1	1	1		2	2	Auxiliary Activity Family 3 / Subf 2
AA3_3										3	1																													1															1																																						2																																																																	Auxiliary Activity Family 3 / Subf 3
AA4																																																																																	2																																																1																													Auxiliary Activity Family 4
AA5																																																																	1																1																																																																													Auxiliary Activity Family 5
AA5_1																																																																																	1																																																																													Auxiliary Activity Family 5 / Subf 1
AA6	8	2	2	4		2	2		4	2	2	2						3	4			4	3		3	4		3		3	3	3			5					3		1	1	1	3	3	3	3	4			2		2	2										5	4	2	2		5		3	3	4	3	3	3	3		3	3	4							3			3	1	4					3	3	3	3	3	3	3						4			4	4				4	4		4	3	3		2	2	2	2	2	2	3					2	3		3	2		6	6		6	6	6	6	6	6	5	5	6	2	3	3	Auxiliary Activity Family 6
AA9																																			4																														1																1																																																																													Auxiliary Activity Family 9
AA11			1																																																																																																																																	1						1																	1			Auxiliary Activity Family 11
AA14																																																																																																																																										1																				Auxiliary Activity Family 14
CBM	27	14	12	13	11	8	11		11	10	14	7						10	12			13	18		9	9		12		12	11	11			22		8			12		8	8	6	11	13	11	12	16			11		12	11										26	9	11	10		14	1	10	10	8	9	11	10	11		12	14	11							11			12	17	11					15	15	15	15	15	15	11						11			9	9				11	11		11	10	10		12	12	10	13	5	6	6		1			13	11		16	7		8	8		8	8	8	8	8	8	8	8	8	7	11	12	Carbohydrate-Binding Module family
CBM1	13	2		5			2				4												5									1			8					1					2	2	2	2							2																																					1	8																																				3																													Carbohydrate-Binding Module Family 1
CBM13																																																																																																																																										1																				Carbohydrate-Binding Module Family 13
CBM14			1																																																																																																																																																											Carbohydrate-Binding Module Family 14
