Annotations/Genomes	Acain1	Cerbo1	Cersp1	Exomac1	Exova1	Hethyg1	Jamsp1	Kalbr1	Malgl1	Malpa1	Malsy1_1	Malve1	Meimi1	Melen1	Moean1	Moeaph1	Monili2	Psean1_1	Psefl1	Psehu1	Rhanym2_1	Rhodsp1	Spore1	Tescy1	Tilalb1	Tilan2	Tilca1	Tilcar1	Tilco1	Tilin1	Tillet1	Tilwa1	Tilwal1	Uroocc1	Uropr1	Ustbr1	Ustgig1	Usthor1	Ustma2_2	Ustsp1	Annotation Description
CAZy	246		217	313	228	176	192		103		93		259	173		213	232	240		235	194	157	216	181	220	182					305	195		105	182		224		230	236	CAZy
AA	30		20	23	19	14	14		18		9		23	17		22	18	22		22	17	9	19	16	27	13					27	16		7	17		22		23	24	Auxiliary Activities family
AA1	9		4	2	2	2	3		12		4		6	4		6	4	6		5	4	2	6	5	8	3					5	3		4	4		5		6	8	Auxiliary Activity Family 1
AA1_2	1		1	1	1	1	1		8		2		3			1	1	1		1	1	1	1	1	1						1	1		1	1		1		1	1	Auxiliary Activity Family 1 / Subf 2
AA1_dist						1	2						1			1	1	2		2			1	1								1		1					2	2	Multicopper oxidase
AA2																																					2				Auxiliary Activity Family 2
AA2_dist																																					2				Class II peroxidase
AA3	14		11	14	13	9	6		5		4		10	7		9	9	9		9	9	4	8	6	14	6					12	8		1	8		8		9	10	Auxiliary Activity Family 3
AA3_2	14		10	14	13	9	5		5		4		10	7		8	9	8		8	9	4	7	6	13	6					10	8		1	7		8		8	9	Auxiliary Activity Family 3 / Subf 2
AA3_3																									1						1									1	Auxiliary Activity Family 3 / Subf 3
AA4	2			1	1																										1										Auxiliary Activity Family 4
AA5	2		2	5	3	2	2		1		1		4	3		4	1	4		4	2	2	3	3	3	3					6	3		2	3		5		4	3	Auxiliary Activity Family 5
AA5_1	2		2	5	3	2	2		1		1		3	3		3	1	3		3	2	2	3	3	3	3					6	3		2	3		5		3	3	Auxiliary Activity Family 5 / Subf 1
AA5_2													1			1		1		1																			1		Auxiliary Activity Family 5 / Subf 2
AA6	2		1	1		1	1						1	2			4			1	1	1	1	1	1	1					1	1			1		1		1	1	Auxiliary Activity Family 6
AA7	1		2				2						2			2		2		2	1			1	1						2	1							2	1	Auxiliary Activity Family 7
AA7_dist	1		1				2						2			2		2		1	1			1	1						2	1							1	1	Glucooligosaccharide oxidase
AA10														1		1		1		1			1												1		1		1	1	Auxiliary Activity Family 10
CBM	7		18	7	6	9	12		2		2		11	9		9	7	8		7	5	8	7	9	10	15					13	10		3	8		9		8	19	Carbohydrate-Binding Module family
CBM12																									1																Carbohydrate-Binding Module Family 12
CBM13							1						1																												Carbohydrate-Binding Module Family 13
CBM18	1		3	1	1	2	2				1			2		2	1	1		1		1	2	1	2	2					4	1			2		1		2	4	Carbohydrate-Binding Module Family 18
CBM21	1		1	1	1	1	1						1	1		1	3	1		1	1	1	1	1	1	1					1	1		1	1		1		1	1	Carbohydrate-Binding Module Family 21
CBM32			1			1							1											1	1	1					1	1					2			1	Carbohydrate-Binding Module Family 32
CBM35	1		2				1						2			2		2		1	1	1	1	2	1	1					1			1	1		2		1		Carbohydrate-Binding Module Family 35
CBM43	1		1				1							1		1		1		1			1	1	1							1			1		1		1	1	Carbohydrate-Binding Module Family 43
CBM48	2		3	4	3	3	3		1		1		3	2		2	2	2		2	3	2	2	2	3	3					3	3		1	2		2		2	2	Carbohydrate-Binding Module Family 48
CBM50	1		7	1	1	2	3		1				3	3		1	1	1		1		3		1		7					3	3			1				1	10	Carbohydrate-Binding Module Family 50
CE	17		13	30	16	10	8		4		7		12	9		11	5	11		17	15	8	12	8	10	10					28	12		9	11		12		13	13	Carbohydrate Esterase family
CE1			1													1		1		2			1	1										1			1		1	1	Carbohydrate Esterase Family 1
CE4	8		9	16	12	6	6		4		7		10	8		6	4	6		7	9	6	7	5	7	10					17	10		4	7		6		7	7	Carbohydrate Esterase Family 4
CE5	6		2	12	3	3	2						2	1		2		2		5	4	2	2	1	1						6	2		3	3		3		3	2	Carbohydrate Esterase Family 5
CE8	3			1		1										1	1	1		1	2		1											1	1		1		1	2	Carbohydrate Esterase Family 8
CE9																1		1		2			1	1	1						1						1		1	1	Carbohydrate Esterase Family 9
CE12				1	1																																				Carbohydrate Esterase Family 12
CE16			1																						1						4										Carbohydrate Esterase Family 16
EXPN	10		10	10	10	6	11		4		3		12	9		5	15	8		8	6	7	8	8	9	8					11	8		1	10		10		11	11	Distantly related to plant expansins
GH	116		95	111	83	74	89		30		28		126	71		113	100	125		113	86	67	104	79	102	85					144	86		51	81		104		107	102	Glycoside Hydrolase family
