Sample Group	Sample ID	mass (g)	%N	%C	Timestamp
Zak- WA - Manistee Post Roots	Plot 1	0.2089	1.1314	49.816	11/5/20 12:16
Zak- WA - Manistee Post Roots	Plot 2	0.2032	1.1499	50.38	11/5/20 12:22
Zak- WA - Manistee Post Roots	Plot 3	0.2028	1.1003	50.804	11/5/20 12:27
Zak- WA - Manistee Post Roots	Plot 4	0.2038	1.1265	50.954	11/5/20 12:33
Zak- WA - Manistee Post Roots	Plot 5	0.2018	1.2493	53.038	11/5/20 12:38
Zak- WA - Manistee Post Roots	Plot 6	0.2018	1.2215	53.664	11/5/20 12:44
Zak- WA - Manistee Post Roots	Plot 7	0.2041	1.5073	47.64	11/5/20 12:49
Zak- WA - Manistee Post Roots	Plot 8	0.201	1.5244	50.357	11/5/20 12:55
Zak- WA - Manistee Post Roots	Plot 9	0.2029	1.4377	45.753	11/5/20 13:00
Zak- WA - Manistee Post Roots	Plot 10	0.2009	1.5429	50.595	11/5/20 13:05
Blank		1	0.03879	0.12135	11/5/20 13:11
Zak- WA - Manistee Post Roots	Plot 11	0.2032	1.5283	48.907	11/5/20 13:16
Zak- WA - Manistee Post Roots	Plot 12	0.2034	1.4891	47.005	11/5/20 13:22
Zak- WA - Manistee Post Roots	Plot 13	0.2049	1.5672	51.628	11/5/20 13:27
Zak- WA - Manistee Post Roots	Plot 14	0.202	1.524	50.076	11/5/20 13:33
Zak- WA - Manistee Post Roots	Plot 15	0.2004	1.4632	51.156	11/5/20 13:38
Zak- WA - Manistee Post Roots	Plot 16	0.202	1.5017	51.404	11/5/20 13:44
Zak- WA - Manistee Post Roots	Plot 17	0.2024	1.4211	51.51	11/5/20 13:49
Zak- WA - Manistee Post Roots	Plot 18	0.2024	1.5189	50.475	11/5/20 13:54
Zak- WA - Manistee Post Roots	Plot 19	0.201	1.3314	50.583	11/5/20 14:00
Zak- WA - Manistee Post Roots	Plot 20	0.203	1.4081	51.016	11/5/20 14:05
orchard leaves - lot 1000		0.2041	2.324	49.443	11/5/20 14:11
