SAMPLE.ID	SITE	REPLICATE	SUBSTRATE
3-1_R	3	1	pre_roots
3-2_R	3	2	pre_roots
3-3_R	3	3	pre_roots
6-1_R	6	1	pre_roots
6-2_R	6	2	pre_roots
6-3_R	6	3	pre_roots
7-1_R	7	1	pre_roots
7-2_R	7	2	pre_roots
7-3_R	7	3	pre_roots
9-1_R	9	1	pre_roots
9-2_R	9	2	pre_roots
9-3_R	9	3	pre_roots
20-1_R	20	1	pre_roots
20-2_R	20	2	pre_roots
20-3_R	20	3	pre_roots
22-1_R	22	1	pre_roots
22-2_R	22	2	pre_roots
22-3_R	22	3	pre_roots
24-1_R	24	1	pre_roots
24-2_R	24	2	pre_roots
24-3_R	24	3	pre_roots
31-1_R	31	1	pre_roots
31-2_R	31	2	pre_roots
31-3_R	31	3	pre_roots
41-1_R	41	1	pre_roots
41-2_R	41	2	pre_roots
41-3_R	41	3	pre_roots
50-1_R	50	1	pre_roots
50-2_R	50	2	pre_roots
50-3_R	50	3	pre_roots
58-1_R	58	1	pre_roots
58-2_R	58	2	pre_roots
58-3_R	58	3	pre_roots
100-1_R	100	1	pre_roots
100-2_R	100	2	pre_roots
100-3_R	100	3	pre_roots
