KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	FUNCTIONAL.GROUP	REFERENCE	TROPHIC.MODE_funguild	GUILD_funguild	CONF_funguild	FORM_funguild	TRAIT_funguild	NOTES_funguild	CITATION_funguild
Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	SAP.NONLIG	Sterkenberg et al. 2018	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	SAP.LIG	Entwistle et al. 2018	Pathotroph-Saprotroph	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Probable	Agaricoid	NULL	NULL	"Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx}"
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	ECM.PEROX	Kohler et al. 2015	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	ECM.PEROX	Bšdeker et al. 2009; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	SAP.NONLIG	Floudas et al. 2012; Nagy et al. 2016	NA	NA	NA	NA	NA	NA	NA
Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	SAP.LIG	Entwistle et al. 2018	Saprotroph	Wood Saprotroph	Highly Probable	Corticioid	White Rot	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo; Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 Uncertain.; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (not ECM).}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	SAP.LIG	Nagy et al. 2016; Entwistle et al. 2018	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688}"
Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	SAP.NONLIG	Sterkenberg et al. 2018	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688; Purahong W, et al. 2016. Molecular Ecology 25:4059-407}"
Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	ECM.PEROX	Bšdeker et al. 2009; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Common name - milk-cap	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	ECM.PEROX	Kohler et al. 2015; Miyauchi et al. 2020	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html}"
