GENUS	GENUS.PERC
Mycena	21.671604854036474
Mortierella	5.773908850994223
Russula	4.428766077784095
Piloderma	4.298882426440147
Gymnopus	3.124020846271968
Trechispora	3.0492524586805114
Tomentella	2.6524540203910747
Lactarius	2.4172850748042722
Humicola	2.4072274731598204
Trichoderma	1.8495565659474384
Ramaria	1.5101641257048801
Cenococcum	1.254132784527142
Laccaria	1.219476825781595
Sebacina	0.8040084114190253
Cortinarius	0.7762934759002463
Hebeloma	0.6898354613730583
Umbelopsis	0.6318100802337061
Agrocybe	0.5999954185314113
Ilyonectria	0.5951190056128889
Peziza	0.592562821421728
Rigidoporus	0.5818760052071439
Hyaloscypha	0.5138225168563142
Apodus	0.5050921646957339
Sphaerobolus	0.49162304030384774
Phialocephala	0.4836005545346658
Byssocorticium	0.44821706644240406
Amanita	0.42838697600559056
Asterostroma	0.4082127838507361
Flagelloscypha	0.3471593075926241
Pseudoomphalina	0.33926463103300025
Clavulinopsis	0.3388910348819844
Porotheleum	0.33808485371400293
Scleroderma	0.31405672231709053
Humaria	0.2887111729139644
Athelopsis	0.2759499149134766
Conocybe	0.2749962615806204
Geoglossum	0.2609962373951854
Leptodontidium	0.25325886447809454
Xenasmatella	0.25308189788024493
Membranomyces	0.2403992917010236
Cladophialophora	0.21929110916862962
Steccherinum	0.21824897253684863
Cephalotheca	0.20662816594472486
Pseudogymnoascus	0.2016239438166445
Rectipilus	0.19669837350983063
Mycenella	0.194466628081394
Athelia	0.19140903852965926
Clitopilus	0.19079948691484397
Xylodon	0.18666043482069497
Chloridium	0.16620112981374952
Rhizophagus	0.15711684445747007
Kuehneromyces	0.1452305879685719
Entoloma	0.13438646811145474
Boletus	0.12678673588158024
Hygrocybe	0.12081902894298538
Clavulina	0.11972773492291286
Inocybe	0.11734851732960157
Marasmius	0.11398615197045917
Hortiboletus	0.11262940805361224
Glutinoglossum	0.10711394908729968
Mucor	0.10435130386531426
