GENUS	GENUS.PERC
Mycena	21.579346591104816
Mortierella	5.715375002195419
Piloderma	4.680272858719954
Russula	4.371187067787629
Gymnopus	3.083357098837879
Trechispora	3.0499479261326394
Tomentella	2.6687747857878175
Lactarius	2.385820537723691
Humicola	2.3759520716646647
Trichoderma	1.836408002559397
Ramaria	1.4905071081580967
Cenococcum	1.243484944476051
Laccaria	1.2036229399819691
Sebacina	0.7935430539244231
Cortinarius	0.7664896779435321
Hebeloma	0.6808562335276913
Umbelopsis	0.6684842628047228
Agrocybe	0.5921855915931925
Ilyonectria	0.5873726523942966
Peziza	0.5848497407174559
Rigidoporus	0.5743020292069723
Hyaloscypha	0.5088712852187554
Apodus	0.4989445981210324
Sphaerobolus	0.4852238400015992
Phialocephala	0.480808744567128
Byssocorticium	0.44238285902755536
Amanita	0.42283029353204044
Asterostroma	0.40289929128499946
Flagelloscypha	0.3426405162343059
Pseudoomphalina	0.33484860055544813
Clavulinopsis	0.33447986731037144
Porotheleum	0.33368417978152165
Scleroderma	0.3099688100192197
Humaria	0.28495317039269996
Athelopsis	0.27235801902139556
Conocybe	0.271416778895805
Leptodontidium	0.2578318698666632
Geoglossum	0.25759898571187784
Xenasmatella	0.2497876630201213
Membranomyces	0.23727013970041202
Clitopilus	0.21986204913021162
Cladophialophora	0.217639946153302
Steccherinum	0.215408139669943
Cephalotheca	0.2039385950467675
Pseudogymnoascus	0.1989995102640295
Rectipilus	0.19413805353288657
Mycenella	0.19193535756887573
Athelia	0.18891756706311635
Xylodon	0.1842307734480624
Chloridium	0.165667965610385
Rhizophagus	0.15507173656765436
Kuehneromyces	0.14334019727034542
Entoloma	0.13263722965667152
Boletus	0.12513641917129534
Hygrocybe	0.11928520478231494
Clavulina	0.11816930154063543
Inocybe	0.11582105297988377
Marasmius	0.11250245377419339
Hortiboletus	0.11116336988417796
Glutinoglossum	0.10571970276607184
Mucor	0.10440002588895522
