PHYLUM	PHYLUM.TOTAL	PHYLUM.PERC
Basidiomycota	6742586	66.28958361824137
Ascomycota	2492636	24.506295144302005
Mortierellomycota	601006	5.908777061510935
unclassified Fungi	118979	1.1697393803081992
Glomeromycota	117261	1.1528489016912205
Mucoromycota	76812	0.755175461890194
Chytridiomycota	8248	0.08109002772575015
Rozellomycota	6181	0.06076836340602105
Olpidiomycota	5742	0.056452344714022475
Zoopagomycota	1283	0.012613785835613171
Entomophthoromycota	252	0.002477532369894403
Kickxellomycota	244	0.0023988805486279143
Basidiobolomycota	76	7.471923020316454e-4
Calcarisporiellomycota	55	5.407312712071118e-4
Blastocladiomycota	32	3.146072850659559e-4
Monoblepharomycota	18	1.7696659784960023e-4
