PHYLUM	COUNT	PERC
Basidiomycota	6828552	66.2608983719748
Ascomycota	2525129	24.50260553703426
Mortierellomycota	602719	5.84848770366811
unclassified Fungi	127906	1.2411366959152994
Glomeromycota	117264	1.1378719802809223
Mucoromycota	81655	0.7923398191246991
Chytridiomycota	8282	0.0803644404138235
Rozellomycota	6227	0.06042373466033312
Olpidiomycota	5782	0.056105674290355886
Zoopagomycota	1360	0.01319676877116638
Entomophthoromycota	252	0.002445283625245535
Kickxellomycota	244	0.0023676555736504385
Basidiobolomycota	76	7.374664901534153e-4
Calcarisporiellomycota	55	5.336928547162874e-4
Blastocladiomycota	32	3.105122063803854e-4
Monoblepharomycota	18	1.746631160889668e-4
