genus	species	mycocosm_species_name	mycocosm_species_code	assembly_length	total_gene_number
Mycena	albidolilacea	Mycena albidolilacea CBHHK002 v1.0	Mycalb1	126717228	36941
Mycena	alexandri	Mycena alexandri CBHHK200 v1.0	Mycale1	132306732	32245
Mycena	amicta	Mycena amicta BAPX v1.0	Mycami1	81431410	25102
Mycena	belliae	Mycena belliae CBHHK173m v1.0	Mycbel1	56444626	18074
Mycena	capillaripes	Mycena capillaripes Frankland 9286 v1.0	Mycrub1	119906144	37256
Mycena	crocata	Mycena crocata CBHHK184 v1.0	Myccro1	93990387	30221
Mycena	epipterygia	Mycena epipterygia CBHHK145m v1.0	Mycepi1	118648059	37563
Mycena	filopes	Mycena filopes CBHHK001 v1.0	Mycfil1	112004863	29152
Mycena	floridula	Mycena floridula CBHHK072 v1.0	Mycflo1	118533562	29475
Mycena	galericulata	Mycena galericulata CBHHK162m v1.0	Mycgale1	197139282	46875
Mycena	galopus	Mycena galopus ATCC-62051 v1.0	Mycgal1	211361780	49694
Mycena	haematopus	Mycena haematopus CBHHK189 v1.0	Mychae1	62806267	20804
Mycena	latifolia	Mycena latifolia 10383 v1.0	Myclat1	148767387	37452
Mycena	leptocephala	Mycena leptocephala CBHHK5/15 v1.0	Myclep1	377319499	75907
Mycena	maculata	Mycena maculata CBHHK188m v1.0	Mycmac1	104056733	25815
Mycena	metata	Mycena metata CBHHK182m v1.0	Mycmet1	164113792	41473
Mycena	olivaceomarginata	Mycena olivaceomarginata CBHHK47/15 v1.0	Mycoli1	501225342	97030
Mycena	polygramma	Mycena polygramma CBHHK137 v1.0	Mycpol1	132253541	39088
Mycena	pura	Mycena pura 9144 v1.0	Mycpur1	96680276	28619
Mycena	rebaudengoi	Mycena rebaudengoi CBHHK068 v1.0	Mycreb1	218590756	52308
Mycena	rosella	Mycena rosella CBHHK067 v1.0	Mycros1	129492142	34060
Mycena	sanguinolenta	Mycena sanguinolenta CBHHK176m v1.0	Mycsan1	115408990	34875
Mycena	sp.	Mycena sp. CBHHK59/15 v1.0	Myc59_1	177780440	38334
Mycena	vitilis	Mycena vitilis CBHHK169m v1.0	Mycvit1	83665095	27952
Mycena	vulgaris	Mycena vulgaris CBHHK164 v1.0	Mycvul1	193677039	45257
Umbelopsis	angularis	Umbelopsis angularis P8C34 v1.0	Umban1	24439702	9529
Umbelopsis	isabellina	Umbelopsis isabellina AD026 v1.0	Umbisa1	21826060	9193
Umbelopsis	ramanniana	Umbelopsis ramanniana AG v1.0	Umbra1	23077072	9931
Umbelopsis	sp. nov.	Umbelopsis sp. nov. AD052 v1.0	Umbsp_AD052_1	22504321	9369
Umbelopsis	sp_PMI	Umbelopsis sp. PMI123 v1.0	Umbelo1	24636683	9672
Piloderma	byssinum	Piloderma byssinum 4S31 v1.0	Pilbys1	94846070	22629
Piloderma	olivaceum	Piloderma olivaceum F 1598 v1.0	Pilcr1	59326866	21583
Piloderma	sphaerosporum	Piloderma sphaerosporum 354 v1.0	Pilsph1	71854530	20118
Russula	brevipes	Russula brevipes BPL707 v1.0	Rusbre1	48529157	14000
Russula	compacta	Russula compacta BPL669 v1.0	Ruscom1	45678814	10834
Russula	dissimulans	Russula dissimulans BPL704 v1.0	Rusdis1	44689478	11865
Russula	earlei	Russula earlei BPL698 v1.0	Rusear1	70012961	12153
Russula	emetica	Russula emetica P_ilba v1.0	Ruseme1	55121418	13215
Russula	ochroleuca	Russula ochroleuca P_ilba v1.0	Rusoch1	44738512	12048
Russula	rugulosa	Russula rugulosa BPL654 v1.0	Rusrug1	43452339	13281
Russula	seminuda	Russula seminuda PSC4341-TAS1 v1.0	Russem1	42095537	10669
Russula	vinacea	Russula vinacea BPL710 v1.0	Rusvin1	43280073	12673
Solicoccozyma	NA	NA	NA	NA	NA
Trechispora	NA	NA	NA	NA	NA
