Annotations/Genomes	DiorN22417_1	Disdec1	Disorn1	EctrN5525_1	HabiNA12553_1	HaliN2525_1	HapNA10739_1	HapNA10996_1	HaspN3175_1	Lobtra1	MoalAD071_1	MoalAD072_1	MoalCK1249_1	MoalGBA31_1	MoalN66262_1	MoamBC1065_1	MoamBC1291_1	MoanKOD1229_1	MobeAD1040_1	MocaN2610_1	MochAD033_1	MochN2769_1	MoclAM1000_1	MoclKOD947_1	MoclN2760_1	Mocy1230_1	MoeAD073_1	MoeNVP64_1	MoelGBA34_1	MoelGBA40_1	MoelNVP5_1	MoelNVP71_1	MoepAD058_1	MoepKOD1059_1	MoepN5512_1	MoexN28262_1	MogaAD045_1	MogaNVP60_1	MoglAD054_1	MoglREB010B_1	MohoAD009_1	MohoCK413_1	MohuKOD1050_1	MohyN2591_1	MomiAD069_1	MomiNVP1_1	MomuN6456_1	MopoKOD948_1	MorAD185_1_1	MorGBAus27b_1	Moralp1_1	Moramb1	Moramoe1	Morcap1	MoreMES2147_1	Morel2	Morel_U14_1	Morgam1	Morhum1	Mormin1_1	Mormul1	Morsel1	Morve1	Morwol1	MoscN6426_1	Mosp14UC_1	MospAD010_1	MospAD011_1	MospAD031_1	MospAD032_1	MospAD094_1	MospAM989_1	MospGBA30_1	MospGBA35_1	MospGBA39_1	MospGBA43_1	MospKOD1030_1	MospNVP41_1	MospNVP85_1	MoveAD079_1	MoveN2611_1	MoveTTC192_1	MowoN66265_1	MozyN2592_1	MozyPUSTF9C_1	Annotation Description
CAZy		280	298							252																	301	301																					261	260	318	252	316	218		304	306	314	275	323	255	288	330	226																						CAZy
AA		35	37							31																	28	30																					33	35	34	28	38	16		25	33	33	27	36	26	31	37	23																						Auxiliary Activities family
AA1		5	5							2																	6	6																					3	2	6	3	5	2		6	8	7	5	4	4	3	5	3																						Auxiliary Activity Family 1
AA1_1																																																	1		1							1																												Auxiliary Activity Family 1 / Subf 1
AA1_2		1	1							1																	2	2																					1	1	2	2	2	1		2	2	2	2	2	1	1	2	2																						Auxiliary Activity Family 1 / Subf 2
AA2		2																									1																						2		2	1	2	1				1		3		1		1																						Auxiliary Activity Family 2
AA2_dist																																																			1	1		1						3		1		1																						Class II peroxidase
AA3		5	6							3																	4	5																					3	3	4	4	4	3		4	5	6	9	8	2	3	9	4																						Auxiliary Activity Family 3
AA3_2		3	5							3																	4	4																					3	3	4	4	4	3		4	4	4	8	8	2	3	8	4																						Auxiliary Activity Family 3 / Subf 2
AA3_4		1																																																								1	1				1																							Auxiliary Activity Family 3 / Subf 4
AA3_dist		1	1																									1																													1	1																												GMC oxidoreductase
AA5		5	5							4																	4	4																					4	4	4	3	4	3		4	4	5	4	4	3	4	4	3																						Auxiliary Activity Family 5
AA5_1		5	5							4																	4	4																					4	4	4	3	4	3		4	4	5	4	4	3	4	4	3																						Auxiliary Activity Family 5 / Subf 1
AA7		2	2							2																																							2	2		2	5			2	1		2		1		4	1																						Auxiliary Activity Family 7
AA7_dist		2	2							2																																							2	2		2	5			2	1		2		1		4	1																						Glucooligosaccharide oxidase
AA10																																																		1																																				Auxiliary Activity Family 10
AA11		16	19							20																	13	15																					19	23	18	15	18	7		9	15	14	7	17	16	20	15	11																						Auxiliary Activity Family 11
AA11_dist		8	9							8																	7	8																					13	16	14	5	9	4		3	8	6	6	9	7	16	9	4																						Lytic polysaccharide monooxygenase
CBM		30	29							28																	39	36																					31	28	39	32	42	29		35	33	37	32	42	23	42	41	32																						Carbohydrate-Binding Module family
CBM5		5	8							6																	8	9																					9	5	4	8	3	6		6	9	6	6	6	4	7	8	6																						Carbohydrate-Binding Module Family 5
CBM12		3	3							2																	2	3																					1	1	2	1	2	1		2	2	2	2	2	2	3	2	2																						Carbohydrate-Binding Module Family 12
CBM13		8	4							8																	12	10																					8	4	14	13	17	12		9	8	14	10	16	4	19	11	12																						Carbohydrate-Binding Module Family 13
CBM14										1																																										1	1							1																										Carbohydrate-Binding Module Family 14
CBM18		3	4							4																	5	3																					3	4	6	4	8	3		5	2	4	6	7	5	3	7	4																						Carbohydrate-Binding Module Family 18
CBM19		1																										1																						1							1						1																							Carbohydrate-Binding Module Family 19
CBM21		2	2							2																	2	2																					2	2	2	1	2	1		2	2	2	1	2	1	2	1	1																						Carbohydrate-Binding Module Family 21
CBM32		1	1							1																	1	1																					1	1	1		1			1	1	1	1		1	1	1	1																						Carbohydrate-Binding Module Family 32
CBM43		1	2																								2	2																					2	2	2	1	2	1		2	2	2	1	2	1	2	2	1																						Carbohydrate-Binding Module Family 43
CBM48		5	4							3																	5	5																					4	6	7	2	5	4		7	5	5	4	6	4	3	6	4																						Carbohydrate-Binding Module Family 48
CBM50		1	1							1																	2																						1	2	1	1	1	1		1	1	1	1		1	2	2	1																						Carbohydrate-Binding Module Family 50
CE		21	24							18																	27	27																					19	17	32	19	27	18		27	30	29	27	28	22	26	30	20																						Carbohydrate Esterase family
CE4		18	22							16																	25	25																					17	15	30	18	25	17		25	28	27	25	26	20	24	28	19																						Carbohydrate Esterase Family 4
CE9		3	2							2																	2	2																					2	2	2	1	2	1		2	2	2	2	2	2	2	2	1																						Carbohydrate Esterase Family 9
EXPN		14	8							10																	10	11																					9	8	11	7	11	6		13	11	14	14	13	11	11	14	7																						Distantly related to plant expansins
GH		74	89							65																	83	85																					66	71	81	80	76	65		88	85	83	70	88	69	78	85	64																						Glycoside Hydrolase family
GH2		1	1							2																	1	1																					1	1	1	1		1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 2
GH3		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1		1	1	1	1	1																						Glycoside Hydrolase Family 3
GH5		9	12							9																	10	10																					8	8	8	8	9	8		10	10	10	10	13	9	9	11	9																						Glycoside Hydrolase Family 5
GH5_9		2	2							3																	3	3																					2	2	2	1	3	2		3	3	3	4	4	3	2	3	2																						Glycoside Hydrolase Family 5 / Subf 9
GH5_11		1	1																																																																																			Glycoside Hydrolase Family 5 / Subf 11
GH5_12		5	8							5																	5	5																					5	5	5	4	5	4		5	5	5	5	6	5	5	5	4																						Glycoside Hydrolase Family 5 / Subf 12
GH5_27		1	1							1																	2	2																					1	1	1	3	1	2		2	2	2	1	3	1	1	3	3																						Glycoside Hydrolase Family 5 / Subf 27
GH5_dist																																																														1																								Glycoside Hydrolase Family 5
GH8		1	1							2																	1	1																					1	1	2	1	2	1		1	1	1	1	4	1	1	1	1																						Glycoside Hydrolase Family 8
GH9		1	2							1																	2	2																					1	1	2	1	2	1		2	3	2	2	2	1	1	2	1																						Glycoside Hydrolase Family 9
GH13		5	5							4																	4	4																					3	5	4	3	4	3		4	4	4	2	3	3	4	3	2																						Glycoside Hydrolase Family 13
GH13_5		2	2							2																	1	1																					1	1	1	1	1	1		1	1	1			1	1																								Glycoside Hydrolase Family 13 / Subf 5
GH13_8		2	2							1																	2	2																					1	3	2	1	2	1		2	2	2	1	2	1	2	2	1																						Glycoside Hydrolase Family 13 / Subf 8
GH13_25		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 13 / Subf 25
GH15			2																									1																					2							1	1		1				2																							Glycoside Hydrolase Family 15
GH16		8	10							6																	13	11																					7	9	8	9	8	7		12	10	12	9	11	8	9	12	9																						Glycoside Hydrolase Family 16
GH17		3	3							4																	5	5																					2	2	4	2	4	3		5	5	5	4	5	4	5	5	2																						Glycoside Hydrolase Family 17
GH18		10	11							8																	11	12																					11	11	10	12	10	8		11	12	10	10	10	10	8	10	7																						Glycoside Hydrolase Family 18
GH19																																																										1		1																										Glycoside Hydrolase Family 19
GH20		7	6							6																	6	6																					4	5	5	8	5	5		7	7	6	5	6	6	6	5	5																						Glycoside Hydrolase Family 20
GH24																												1																							1	6		3		1	1	1		1		2		2																						Glycoside Hydrolase Family 24
GH25										1																	1	1																					2	3	4	4	4	2		1	1	1	2	4		3	1	1																						Glycoside Hydrolase Family 25
GH27		1	1																								1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 27
GH28		2	7							2																	1	1																												1	1	1	1	1	1		1																							Glycoside Hydrolase Family 28
GH29																																																			1		1																																	Glycoside Hydrolase Family 29
GH31		3	3							3																	3	3																					3	3	3	3	3	3		3	3	3	2	2	3	4	2	3																						Glycoside Hydrolase Family 31
GH35		1	1							1																	1	1																					1	1	1	1	1	1		2	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 35
GH36		1	1																								1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 36
GH37		2	2							2																	2	2																					2	2	2	2	2	2		2	2	2	2	2	2	2	2	2																						Glycoside Hydrolase Family 37
GH38		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 38
GH46		1																																																																																				Glycoside Hydrolase Family 46
GH47		6	5							4																	5	6																					4	4	6	4	4	5		6	5	5	5	7	4	6	9	5																						Glycoside Hydrolase Family 47
GH63		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 63
GH65		1	1							1																	1	1																					1	1	1		1			1	1	1	1		1	1	1																							Glycoside Hydrolase Family 65
GH72		1	2																								2	2																					2	2	2	1	2	1		2	2	2	1	2	2	2	2	1																						Glycoside Hydrolase Family 72
GH76																											1	1																												1	1																													Glycoside Hydrolase Family 76
GH81		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1		1	1		1	1																						Glycoside Hydrolase Family 81
GH85		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1		1	1	1	1	1																						Glycoside Hydrolase Family 85
GH89		2	3							2																	3	3																					2	3	2	4	2	2		3	3	3	3	2	3	2	3	3																						Glycoside Hydrolase Family 89
GH95		1	1							1																	2	2																					1	1	1	1	1	1		2	2	2	1	1	1	1	1	1																						Glycoside Hydrolase Family 95
GH105																																																			1	1	1					1	1	1		1	2																							Glycoside Hydrolase Family 105
GH108																																																			3		1			1						2																								Glycoside Hydrolase Family 108
GH133		1	1							1																	1	1																					1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																						Glycoside Hydrolase Family 133
GH134		1	3																																																1		1																																	Glycoside Hydrolase Family 134
GT		97	105							96																	103	104																					96	95	111	81	111	78		107	106	108	97	105	97	91	114	75																						Glycosyl Transferase family
GT1		5	3							5																	4	4																					6	5	4	3	4	3		4	4	4	3	3	4	3	3	3																						GlycosylTransferase Family 1
GT2		24	25							24																	22	22																					23	23	26	17	27	17		22	22	22	24	25	22	25	27	17																						GlycosylTransferase Family 2
GT3		2	2							3																	2	2																					2	2	2	1	2	1		3	2	2	1	2	2	3	2	1																						GlycosylTransferase Family 3
GT4		3	3							3																	3	3																					3	3	4	3	3	3		3	3	3	3	3	3	3	3	3																						GlycosylTransferase Family 4
GT5																																																			1		1																																	GlycosylTransferase Family 5
GT8		3	4							1																	1	1																						1	2	1	3	1		1	1	1	1	2	3	1	1	1																						GlycosylTransferase Family 8
GT10		3	3							4																	9	10																							5	5	3	2		11	12	5	5	7	6	1	5	3																						GlycosylTransferase Family 10
GT15		3	3							3																	3	3																					3	3	3	2	3	3		3	3	3	3	4	3	3	4	1																						GlycosylTransferase Family 15
GT17		2	2							2																	2	1																					3	3	7	4	8	5		1	1	6	6	6	1		7	6																						GlycosylTransferase Family 17
