Annotations/Genomes	Geopyr1	Gigmar1	Gigro1	Gloin1	Rhice1_1	Rhicl1	Rhidi1	Rhiir2_1	RhiirA1_1	RhiirA4	RhiirA5	RhiirB3	RhiirC2	Annotation Description
CAZy			406	214	202		196	209	205	52	182	60	90	CAZy
AA			66	19	36		31	31	33	19	17	22	17	Auxiliary Activities family
AA1			25	10	11		11	12	15			1		Auxiliary Activity Family 1
AA1_2			1		1							1		Auxiliary Activity Family 1 / Subf 2
AA1_dist			1	5	1			2						Multicopper oxidase
AA3			21	3	8		6	5	6	6	6	10	6	Auxiliary Activity Family 3
AA3_2			8		6		6	2	1		1	1	1	Auxiliary Activity Family 3 / Subf 2
AA3_4			5											Auxiliary Activity Family 3 / Subf 4
AA3_dist			6	3	2			1	5	6	5	9	5	GMC oxidoreductase
AA5			4	6	12		8	9	8	8	8	8	8	Auxiliary Activity Family 5
AA5_1			4	6	12		8	7	8	8	8	8	8	Auxiliary Activity Family 5 / Subf 1
AA6			1		2		1	1	1	1	1	1	1	Auxiliary Activity Family 6
AA7			14		2		4	3	2	4	2	2	2	Auxiliary Activity Family 7
AA7_dist			14		2		4	2	1	4	1	1	1	Glucooligosaccharide oxidase
AA11			1		1		1	1	1					Auxiliary Activity Family 11
CBM			21	14	14		18	23	19	16	16	17	16	Carbohydrate-Binding Module family
CBM13			1	7	5		10	13	8	6	7	8	7	Carbohydrate-Binding Module Family 13
CBM14			6											Carbohydrate-Binding Module Family 14
CBM18			6	2				2	2	1	2	2	2	Carbohydrate-Binding Module Family 18
CBM19			1				1	1	1					Carbohydrate-Binding Module Family 19
CBM21			1	1	1			1	1	1			1	Carbohydrate-Binding Module Family 21
CBM43			1											Carbohydrate-Binding Module Family 43
CBM48			5	2	3		4	3	4	5	4	4	3	Carbohydrate-Binding Module Family 48
CBM50				2	5		3	3	3	3	3	3	3	Carbohydrate-Binding Module Family 50
CE			23	10	12		9	9	10	10	10	9	9	Carbohydrate Esterase family
CE4			21	8	10		8	8	9	9	9	8	8	Carbohydrate Esterase Family 4
CE9			1	1	1		1	1	1	1	1	1	1	Carbohydrate Esterase Family 9
CE11				1										Carbohydrate Esterase Family 11
CE14					1									Carbohydrate Esterase Family 14
CE16			1											Carbohydrate Esterase Family 16
EXPN			6	5	4		5	4	5	5	5	5	5	Distantly related to plant expansins
GH			102	43	41		35	37	34	2	34	7	34	Glycoside Hydrolase family
GH5			6	3	4		4	4	4		4		4	Glycoside Hydrolase Family 5
GH5_7			2	1	1		1	1	1		1		1	Glycoside Hydrolase Family 5 / Subf 7
GH5_9			2											Glycoside Hydrolase Family 5 / Subf 9
GH5_12			2	2	2		2	2	2		2		2	Glycoside Hydrolase Family 5 / Subf 12
GH5_27					1		1	1	1		1		1	Glycoside Hydrolase Family 5 / Subf 27
GH9			6	3	2		2	2	2		2		2	Glycoside Hydrolase Family 9
